Local government,Suburb1,Suburb2,Suburb3,Suburb4
Alpine Shire Council,Myrtleford,Bright,Porepunkah,Tawonga South
Ararat Rural City Council,Ararat,Moyston,Taytoon,Cathcart
Ballarat City Council,Wendouree,Sebastopol,Alfredton,Ballarat Central
Banyule City Council,Rosana,Viewbank,Heidelberg Heights,Yallambie
Bass Coast Shire Council,Benalla,Tamnick,Devenish,Goorambat
Baw Baw Shire Council,Aberfeldy,Athlone,Buln Buln,Darnum
Bayside City Council,Brighton,Sandringham,Moorabbin,Mordialloc
Benalla Rural City Council,Baddaginnie,Benalla,Devenish,Goorambat
Boroondara City Council,Balwyn North,Glen Iris,Hawthorn,Kew
Brimbank City Council,Albion,Sunshine,Kealba,Delahey
Buloke Shire Council,Ballapur,Banyan,Berriwillock,Bimbourie
Campaspe Shire Council,Bamawm,Colbinabbin,Corop,Echuca
Cardinia Shire Council,Cockatoo,Gembrook,Bunyip,Garfield
Casey City Council,Clyde,Hallam,Warneet,Harkaway
Central Goldfields Shire Council,Adelaide Lead,Alma,Amherst,Bung Bong
Colac Otway Shire Council,Alvie,Apollo Bay,Beeac,Beech Forest
Corangamite Shire Council,Camperdown,Cobden,Derrinallum,Foxhow
Darebin City Council,Reservoir,Preston,Kingsbury,Thornbury
East Gippsland Shire Council,Anglers Rest,Bairnsdale,Bemm River,Benambra
Frankston City Council,Langwarrin,Frankston,Karingal,Carrum Downs
Gannawarra Shire Council,Cohuna,Kerang,Koondrook,Leitchville
Glen Eira City Council,Bentleigh,Caulfield,Carnegie,Brighton East
Glenelg Shire Council,Allestree,Cape Bridgewater,Casterton,Condah
Golden Plains Shire Council,Bannockburn,Berringa,Cape Clear,Corindhap
Greater Bendigo City Council,Eaglehawk,California Gully,Epsom,Axedale
Greater Dandenong City Council,Keysborough,Springvale,Bangholme,Noble Park
Greater Geelong City Council,Anakie,Corio,Belmont,Bellarine
Greater Shepparton City Council,Arcadia,Congupna,Dookie,Grahamvale
Hepburn Shire Council,Allendale,Blampied,Bullarto,Clunes
Hindmarsh Shire Council,Antwerp,Dimboola,Jeparit,Netherby
Hobsons Bay City Council,Altona,Newport,Seabrook,Spotswood
Horsham Rural City Council,Brimpaen,Dadswells Bridge,Dooen,Haven
Hume City Council,Bulla,Campbellfield,Somerton,Coolaroo
Indigo Shire Council,Allans Flat,Barnawartha,Beechworth,Chiltern
Kingston City Council,Chelsea,Highett,Edithvale,Mentone
Knox City Council,Rowville,Scoresby,Bayswater,Ferntree Gully
Latrobe City Council,Boolarra,Callignee,Churchill,Glengarry
Loddon Shire Council,Arnold,Bealiba,Boort,Bridgewater on Loddon
Macedon Ranges Shire Council,Ashbourne,Baynton,Bolinda,Bullengarook
Manningham City Council,Ringwood North,Warrandyte,Nunawading,Doncaster
Mansfield Shire Council,Ancona,Bonnie Doon,Gaffneys Creek,Jamieson
Maribyrnong City Council,Maidstone,Footscray,Seddon,Braybrook
Maroondah City Council,Croydon,Heathmont,Warranwood,Kilsyth South
Melbourne City Council,Carlton,Docklands,Kensington,Flemington
Melton Shire Council,Rockbank,Exford,Brookfield,Melton
Mildura Rural City Council,Big Desert Wilderness Park,Birdwoodton,Boinka,Cabarita
Mitchell Shire Council,Beveridge,Broadford,Clonbinane,Kilmore
Moira Shire Council,Almonds,Barmah,Bathumi,Bearii
Monash City Council,Clayton,Mulgrave,Oakleigh,Huntingdale
Moonee Valley City Council,Aberfeldie,Essendon,Niddrie,Travancore
Moorabool Shire Council,Ballan,Buninyong,Parwan,Myrniong
Moreland City Council,Coburg,Hadfield,Fawkner,Brunswick
Mornington Peninsula Shire Council,Merricks,Flinders,Baxter,Rosebud
Mount Alexander Shire Council,Barfold,Campbells Creek,Castlemaine,Chewton
Moyne Shire Council,Caramut,Framlingham,Garvoc,Hawkesdale
Murrindindi Shire Council,Acheron,Alexandra,Buxton,Cathkin
Nillumbik Shire Council,Wattle Glen,Diamond Creek,Kangaroo Ground,Nutfield
Northern Grampians Shire Council,Glenorchy,Great Western,Halls Gap,Joel Joel
Port Phillip City Council,St Kilda,Elwood,Southbank,St Kilda West
Pyrenees Shire Council,Amphitheatre,Avoca,Barkly,Beaufort
Queenscliffe Borough Council,Point Lonsdale,Swan Island,Queenscliff,NULL
South Gippsland Shire Council,Agnes,Darby River,Fish Creek,Foster
Southern Grampians Shire Council,Balmoral,Branxholme,Byaduk,Cavendish
Stonnington City Council,Toorak,Malvern,Kooyong,Prahran
Strathbogie Shire Council,Avenel,Euroa,Longwood,Mangalore
Surf Coast Shire Council,Aireys Inlet,Anglesea,Bellbrae,Deans Marsh
Swan Hill Rural City Council,Annuello,Bannerton,Beverford,Bolton
Towong Shire Council,Bellbridge,Bethanga,Corryong,Cudgewa
Wangaratta Rural City Council,Cheshunt,Eldorado,Everton,Glenrowan
Warrnambool City Council,Allansford,Bushfield,Dennington,Warrnambool
Wellington Shire Council,Alberton,Alberton West,Boisdale,Briagolong
West Wimmera Shire Council,Apsley,Edenhope,Goroke,Gymbowen
Whitehorse City Council,Mitcham,Blackburn,Box Hill,Vermont South
Whittlesea City Council,Bundoora,Lalor,Epping,Mernda
Wodonga City Council,Bandiana,Bonegilla,Wodonga,Gateway Island
Wyndham City Council,Laverton,Tarneit,Werribee,Williams Landing
Yarra City Council,Abbotsford,Cremorne,Fitzroy,Collingwood
Yarra Ranges Shire Council,Coldstream,Cambarville,Emerald,Belgrave
Yarriambiack Shire Council,Areegra,Beulah,Brim,Hopetoun
